City,Country,Month,Day,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed,HasRained,Is_Stagnant,Dispersion_Index
Tokyo,Japan,12,18,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18,154.36649104320338,Unhealthy,11.62,10.03,false,false,12.53
Rio de Janeiro,Brazil,3,25,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,177.7563751317176,Unhealthy,18.14,12.15,true,false,8.69
Beijing,China,6,12,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0,178.84067439409904,Unhealthy,11.75,10.26,false,false,1.16
London,UK,10,27,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01,157.4386722866175,Unhealthy,12.18,9.62,false,false,1.54
Johannesburg,South Africa,10,9,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49,90.2940404040404,Moderate,12.9,9.66,false,false,5.02
Mumbai,India,2,15,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96,145.42010050251258,Poor,15.35,8.37,false,false,2.03
Mexico City,Mexico,4,11,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77,183.2449947312961,Unhealthy,14.16,9.8,false,false,5.83
Toronto,Canada,12,3,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56,107.64222222222222,Poor,19.53,9.34,false,false,0.33
Berlin,Germany,6,12,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08,193.96406743940992,Unhealthy,15.69,9.7,false,false,8.39
Paris,France,10,24,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23,96.79767676767676,Moderate,15.27,9.07,true,false,8.17
Cairo,Egypt,9,7,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86,105.39310344827584,Poor,12.59,9.66,false,false,6.08
Johannesburg,South Africa,4,6,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88,192.29114857745,Unhealthy,14.13,10.18,false,false,9.13
Bangkok,Thailand,9,10,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,198.2238145416228,Unhealthy,12.83,10.64,false,false,12.62
Rio de Janeiro,Brazil,2,13,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73,113.21306532663316,Poor,14.93,10.65,false,false,1.56
Rio de Janeiro,Brazil,9,19,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49,166.6913593256059,Unhealthy,18.36,10.61,false,false,13.2
Rio de Janeiro,Brazil,3,12,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14,158.027291886196,Unhealthy,18.14,12.15,false,false,8.68
Moscow,Russia,10,28,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21,165.42118018967335,Unhealthy,14.92,9.81,false,false,9.81
Mumbai,India,10,18,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27,168.55015806111695,Unhealthy,13.68,10.97,false,false,3.27
Mexico City,Mexico,4,14,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18,188.8472075869336,Unhealthy,14.16,9.8,false,false,0.73
Paris,France,11,25,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83,160.69157007376185,Unhealthy,12.84,10.48,false,false,16.7
New York,USA,3,11,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96,159.10126448893573,Unhealthy,14.13,11.42,false,false,9.74
Madrid,Spain,3,24,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12,193.6026343519494,Unhealthy,14.38,10.02,false,false,6.05
Istanbul,Turkey,3,26,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,195.18261327713384,Unhealthy,14.84,10.52,false,false,8.59
Istanbul,Turkey,6,19,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12,189.5958904109589,Unhealthy,19.22,9.91,false,false,2.91
Cairo,Egypt,6,18,65.66,193.75,82.38,28.86,0.57,179.54,9.14,47.53,15.13,152.96206533192836,Unhealthy,14.84,9.89,false,false,10.26
Sydney,Australia,12,19,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98,174.22982086406745,Unhealthy,12.67,10.42,false,false,2.51
Istanbul,Turkey,9,1,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,103.4351515151515,Poor,15.25,11.16,false,false,8.22
Cairo,Egypt,7,14,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07,184.11243414120128,Unhealthy,14.35,9.43,false,false,7.85
Los Angeles,USA,4,24,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55,198.78661749209687,Unhealthy,14.11,9.77,false,false,6.83
Toronto,Canada,12,24,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65,175.8459430979979,Unhealthy,19.53,9.34,false,false,7.53
Moscow,Russia,1,21,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22,152.63161222339303,Unhealthy,14.36,10.98,false,false,5.51
Mumbai,India,5,22,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52,106.31859296482412,Poor,17.26,9.48,false,false,14.34
Paris,France,6,8,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85,159.93256059009482,Unhealthy,13.47,9.37,false,false,6.23
Mumbai,India,8,23,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94,162.33350895679663,Unhealthy,14.73,9.18,false,false,5.88
Mexico City,Mexico,5,1,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16,198.099894625922,Unhealthy,14.2,11.91,false,false,3.44
Rio de Janeiro,Brazil,7,2,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22,93.54377682403432,Moderate,19.26,10.85,false,false,2.27
New York,USA,6,6,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81,73.05000000000001,Moderate,15.78,9.84,false,false,8.81
Rio de Janeiro,Brazil,10,6,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77,167.30063224446786,Unhealthy,19.62,9.68,false,true,1.39
Cairo,Egypt,12,27,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11,118.84787878787878,Poor,15.75,9.44,false,false,3.17
Mumbai,India,6,26,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91,197.18598524762908,Unhealthy,14.76,10.34,false,false,8.02
Tokyo,Japan,5,28,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56,59.19179487179488,Moderate,15.57,10.61,false,false,6.9
Bangkok,Thailand,10,10,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19,155.33719704952583,Unhealthy,12.07,9.94,false,false,5.98
Sydney,Australia,9,2,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8,122.27437185929648,Poor,10.87,10.39,false,false,1.23
Cairo,Egypt,10,20,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07,177.10063224446787,Unhealthy,15.61,9.87,false,false,7.53
Los Angeles,USA,5,24,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92,195.8899894625922,Unhealthy,14.24,9.89,false,false,9.32
Paris,France,8,12,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92,182.18651211801892,Unhealthy,15.19,8.73,false,false,6.42
Mexico City,Mexico,5,10,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94,94.5,Moderate,14.2,11.91,false,false,9.18
Paris,France,2,11,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06,97.30252525252526,Moderate,15.58,10.26,false,false,5.8
Mumbai,India,6,10,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7,181.28809272918863,Unhealthy,14.76,10.34,false,false,13.07
Paris,France,3,21,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2,185.9867228661749,Unhealthy,15.91,10.54,false,false,3.06
Los Angeles,USA,10,2,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81,193.1740779768177,Unhealthy,14.02,10.27,false,false,9.08
Istanbul,Turkey,3,18,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74,63.8,Moderate,14.84,10.52,false,false,14.31
Rio de Janeiro,Brazil,9,11,106.04,147.05,27.88,2.34,2.46,84.55,28.07,65.74,13.45,168.81348788198102,Unhealthy,18.36,10.61,false,false,8.12
Toronto,Canada,10,16,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5,164.940990516333,Unhealthy,14.88,11.68,false,false,6.27
Seoul,South Korea,8,6,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76,155.18229715489989,Unhealthy,14.73,9.89,false,false,7.7
Bangkok,Thailand,5,18,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,137.04824120603016,Poor,16.55,9.66,false,false,11.8
Berlin,Germany,6,24,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02,167.78082191780825,Unhealthy,15.69,9.7,false,false,1.22
Madrid,Spain,10,15,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56,84.14334763948499,Moderate,18.8,9.47,false,false,1.87
Madrid,Spain,6,27,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84,131.38492462311558,Poor,17.11,8.79,true,false,10.25
Sydney,Australia,3,15,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67,166.1905163329821,Unhealthy,13.57,12.06,false,false,8.35
Rio de Janeiro,Brazil,10,6,66.75,50.87,33.48,17.33,3.84,173.76,32.33,99.66,2.77,167.30063224446786,Unhealthy,19.62,9.68,false,true,1.39
Rio de Janeiro,Brazil,9,9,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13,189.3377239199157,Unhealthy,18.36,10.61,false,false,0.73
London,UK,2,17,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31,196.2256059009484,Unhealthy,14.65,10.39,false,false,0.79
Bangkok,Thailand,8,26,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96,169.57766069546892,Unhealthy,17.27,11.24,false,false,6.42
Sydney,Australia,1,8,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58,165.89620653319284,Unhealthy,14.53,9.98,false,false,6.17
Mexico City,Mexico,6,2,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24,197.57839831401475,Unhealthy,13.43,9.45,false,false,11.62
Cairo,Egypt,1,11,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07,106.74141414141414,Poor,14.81,9.3,false,false,10.59
London,UK,9,12,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44,194.99157007376184,Unhealthy,18.45,10.68,false,false,7.63
London,UK,5,1,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3,196.53024236037936,Unhealthy,16.1,10.59,false,false,1.23
Istanbul,Turkey,11,27,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27,116.83266331658292,Poor,16.73,11.19,false,false,10.16
Bangkok,Thailand,11,2,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64,172.74278187565858,Unhealthy,18.46,10.36,false,false,7.51
Rio de Janeiro,Brazil,8,6,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13,86.73004291845494,Moderate,16.77,9.36,false,false,7.15
Rio de Janeiro,Brazil,8,10,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34,74.58434343434344,Moderate,16.77,9.36,false,false,12.38
New York,USA,6,16,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65,191.5579557428873,Unhealthy,15.78,9.84,false,false,10.13
Beijing,China,5,25,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15,137.31909547738695,Poor,14.45,9.64,false,false,3.23
Mexico City,Mexico,8,19,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07,183.08493150684933,Unhealthy,11.58,10.47,false,false,9.52
Mexico City,Mexico,4,27,61.51,60.47,42.52,30.08,5.99,134.57,39.0,11.76,7.1,154.1031612223393,Unhealthy,14.16,9.8,false,false,6.35
Toronto,Canada,10,28,42.79,186.5,34.72,32.75,4.05,165.8,15.76,19.82,16.22,118.9502512562814,Poor,14.88,11.68,false,false,13.54
Dubai,UAE,12,10,99.67,182.25,15.05,30.31,0.71,104.82,17.65,72.44,6.78,173.8064278187566,Unhealthy,15.24,10.32,false,false,3.93
Bangkok,Thailand,1,23,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73,120.99396984924624,Poor,15.08,10.9,false,false,7.75
Beijing,China,12,17,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97,176.13508956796628,Unhealthy,13.4,11.58,true,false,9.86
Madrid,Spain,7,17,132.13,125.22,51.69,29.84,3.87,160.86,-8.56,51.01,3.96,190.5665964172813,Unhealthy,13.26,10.9,false,false,2.62
Berlin,Germany,9,9,122.71,110.47,78.72,45.35,2.38,89.7,30.95,30.06,10.06,185.7027397260274,Unhealthy,14.68,11.83,false,false,7.73
Cairo,Egypt,11,21,82.76,11.97,45.12,21.02,2.78,192.53,-8.58,40.44,16.83,165.07523709167546,Unhealthy,15.99,9.71,false,false,11.98
Tokyo,Japan,3,19,116.55,15.85,8.0,48.47,3.81,106.48,12.08,47.46,2.04,182.52212855637512,Unhealthy,12.58,9.96,false,false,1.38
Mumbai,India,5,22,76.49,157.45,33.55,17.71,2.43,124.68,28.2,29.19,18.52,106.31859296482412,Poor,17.26,9.48,false,false,14.34
Bangkok,Thailand,8,12,148.44,193.88,24.88,7.26,9.12,10.37,36.0,47.83,11.48,198.98798735511065,Unhealthy,17.27,11.24,false,false,7.77
Bangkok,Thailand,12,9,7.17,67.57,40.12,24.43,0.56,145.28,5.5,73.42,5.22,57.22151515151515,Moderate,14.64,11.4,false,false,3.01
Los Angeles,USA,12,28,58.13,81.33,31.67,8.3,1.95,167.79,0.32,86.18,4.74,152.35795574288724,Unhealthy,17.73,9.8,false,false,2.55
Johannesburg,South Africa,5,26,81.57,125.21,27.25,10.14,5.23,133.79,19.49,84.25,18.29,164.46080084299263,Unhealthy,15.9,10.71,false,false,9.93
Los Angeles,USA,2,28,106.1,192.72,87.56,30.66,9.42,84.44,9.32,34.94,2.89,177.1264488935722,Unhealthy,13.46,9.7,false,false,2.14
Cairo,Egypt,9,4,113.13,196.42,75.01,27.82,1.86,135.44,30.27,87.22,8.1,180.7562697576396,Unhealthy,12.59,9.66,false,false,4.33
Dubai,UAE,2,13,36.24,57.46,21.67,49.47,7.87,159.22,-8.97,59.82,18.5,102.82211055276382,Poor,14.52,9.65,false,false,11.58
Bangkok,Thailand,3,27,109.45,135.77,89.51,49.18,2.14,40.67,6.52,77.24,17.63,178.85616438356163,Unhealthy,13.32,10.64,false,false,9.95
New York,USA,6,21,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74,167.45036880927293,Unhealthy,15.78,9.84,false,false,6.26
Bangkok,Thailand,6,27,24.85,27.35,27.68,44.03,7.68,33.61,26.68,76.15,9.0,82.8,Moderate,15.75,8.07,false,false,5.11
Paris,France,9,3,101.21,70.07,43.33,28.93,4.19,20.25,-8.26,72.42,6.54,174.60158061116965,Unhealthy,11.91,9.29,false,false,3.79
New York,USA,8,24,27.18,26.47,66.21,45.15,5.42,139.81,4.46,30.05,1.57,82.71330472103006,Moderate,19.02,9.37,false,false,1.21
Beijing,China,10,9,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89,95.2,Moderate,10.72,11.15,false,false,13.48
Toronto,Canada,6,21,76.83,99.21,70.75,15.22,5.27,185.11,23.05,48.47,9.14,162.01338250790306,Unhealthy,16.31,10.24,false,false,6.16
Dubai,UAE,4,27,103.53,86.55,32.2,28.73,5.87,12.05,-8.35,15.23,13.42,175.7994731296101,Unhealthy,13.2,11.62,false,false,11.65
Madrid,Spain,6,21,142.21,73.79,19.41,2.3,5.31,49.86,1.93,35.25,15.1,195.7712328767124,Unhealthy,17.11,8.79,false,false,11.16
Cairo,Egypt,7,12,48.36,181.74,95.72,1.04,9.15,79.65,38.31,74.78,6.27,132.66532663316582,Poor,14.35,9.43,false,false,3.59
Rio de Janeiro,Brazil,8,1,140.81,112.01,92.23,19.31,1.84,162.49,-5.06,21.72,11.02,195.04836670179137,Unhealthy,16.77,9.36,false,false,9.05
Berlin,Germany,4,18,36.97,174.27,92.31,5.83,6.72,53.04,2.67,19.65,18.08,110.53767676767676,Poor,12.74,10.2,false,false,15.11
Dubai,UAE,12,24,7.9,176.85,63.2,12.53,4.17,195.52,19.83,66.06,11.92,111.81464646464646,Poor,15.24,10.32,false,false,7.18
Dubai,UAE,10,22,48.53,58.95,86.86,30.17,3.44,189.93,-5.37,55.04,3.76,133.08391959798996,Poor,12.55,9.61,false,false,2.43
Madrid,Spain,10,12,56.2,115.21,37.11,18.8,3.22,18.7,7.2,89.72,14.71,151.36143308746048,Unhealthy,18.8,9.47,false,false,7.75
Tokyo,Japan,11,17,106.97,143.17,49.0,21.1,3.06,184.43,38.23,81.14,15.34,177.57565858798736,Unhealthy,11.47,10.76,false,false,8.47
Moscow,Russia,10,23,133.99,193.54,49.1,45.92,9.06,132.52,0.34,99.63,16.47,191.52697576396207,Unhealthy,14.92,9.81,true,false,8.25
Berlin,Germany,1,10,22.05,196.64,59.36,23.47,1.47,178.93,19.26,65.73,2.78,121.60969696969696,Poor,14.14,8.83,false,false,1.68
Moscow,Russia,1,22,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98,74.46952789699571,Moderate,14.36,10.98,false,false,14.43
Toronto,Canada,5,22,107.28,50.78,32.19,46.2,7.22,180.13,19.77,35.36,14.9,177.73572181243415,Unhealthy,15.6,10.43,false,false,11.01
New York,USA,12,25,51.23,197.82,80.38,47.53,1.74,20.81,33.91,63.69,18.45,139.7321608040201,Poor,15.14,9.77,false,false,11.27
Mumbai,India,3,13,142.55,189.38,7.66,7.98,6.92,56.56,16.42,91.71,5.17,195.9467860906217,Unhealthy,14.48,10.05,false,false,2.7
Madrid,Spain,3,15,105.74,182.03,44.08,2.95,2.88,35.15,16.07,50.22,16.47,176.9405690200211,Unhealthy,14.38,10.02,false,false,10.96
Tokyo,Japan,6,17,93.68,59.02,30.01,26.48,4.69,171.34,1.8,55.67,11.77,170.71359325605903,Unhealthy,14.34,9.85,false,false,7.56
Istanbul,Turkey,8,28,134.62,165.45,83.39,39.7,5.1,41.31,11.75,51.71,2.71,191.8522655426765,Unhealthy,15.01,8.76,false,false,1.79
New York,USA,11,22,75.67,56.37,94.76,21.73,7.69,133.39,-6.52,10.92,2.91,161.41443624868282,Unhealthy,13.37,8.96,false,false,2.62
Berlin,Germany,11,19,135.33,46.11,89.69,29.94,9.83,186.39,27.04,95.78,0.85,192.21886195995785,Unhealthy,13.73,10.82,false,false,0.43
Rio de Janeiro,Brazil,6,1,62.61,194.27,60.84,44.48,1.27,156.38,0.17,30.73,11.0,154.67112750263436,Unhealthy,13.43,11.22,false,false,8.41
Rio de Janeiro,Brazil,7,28,20.56,19.06,85.27,10.54,3.19,58.93,25.81,91.46,18.5,84.30934782608696,Moderate,19.26,10.85,false,false,9.66
Bangkok,Thailand,7,27,109.92,158.76,37.26,5.75,5.74,82.29,15.96,86.54,19.14,179.09884088514227,Unhealthy,14.56,10.49,false,false,10.26
Berlin,Germany,11,21,141.59,176.33,84.38,39.38,1.96,169.19,7.3,11.72,16.31,195.4511064278188,Unhealthy,13.73,10.82,false,false,14.6
Berlin,Germany,12,24,37.63,141.74,67.32,12.82,5.07,58.86,9.44,77.1,15.91,106.24472361809046,Poor,15.49,10.71,false,false,8.98
Johannesburg,South Africa,8,17,108.32,153.08,14.25,34.62,6.1,83.46,18.41,20.11,9.27,178.272708113804,Unhealthy,14.39,10.06,false,false,7.72
Tokyo,Japan,2,24,122.81,124.47,53.19,21.88,9.94,10.11,18.04,12.19,14.71,185.75437302423603,Unhealthy,17.43,11.11,false,false,13.11
Toronto,Canada,1,13,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04,117.81838383838384,Poor,13.87,11.98,true,false,8.27
Istanbul,Turkey,11,3,71.6,168.4,14.88,44.17,5.24,140.11,22.4,77.04,19.8,159.31296101159114,Unhealthy,16.73,11.19,false,false,11.18
