,Unnamed: 0,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,HasRained,Is_Stagnant,Dispersion_Index,Air_Quality_Category
57,57,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49,166.6913593256059,False,False,13.2,Unhealthy
58,58,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14,158.027291886196,False,False,8.68,Unhealthy
59,59,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21,165.42118018967335,False,False,9.81,Unhealthy
60,60,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27,168.55015806111695,False,False,3.27,Unhealthy
61,61,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18,188.8472075869336,False,False,0.73,Unhealthy
62,62,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83,160.69157007376185,False,False,16.7,Unhealthy
63,63,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96,159.10126448893573,False,False,9.74,Unhealthy
64,64,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12,193.6026343519494,False,False,6.05,Unhealthy
65,65,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,195.18261327713384,False,False,8.59,Unhealthy
66,66,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12,189.5958904109589,False,False,2.91,Unhealthy
67,67,65.66,193.75,82.38,28.86,0.57,179.54,10.24,56.47,19.62,156.2459430979979,False,False,10.26,Unhealthy
68,68,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98,174.22982086406745,False,False,2.51,Unhealthy
69,69,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,103.4351515151515,False,False,8.22,Poor
70,70,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07,184.11243414120128,False,False,7.85,Unhealthy
71,71,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55,198.78661749209687,False,False,6.83,Unhealthy
72,72,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65,175.8459430979979,False,False,7.53,Unhealthy
73,73,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22,152.63161222339303,False,False,5.51,Unhealthy
74,74,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52,106.31859296482412,False,False,14.34,Poor
75,75,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85,159.93256059009482,False,False,6.23,Unhealthy
76,76,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94,162.33350895679663,False,False,5.88,Unhealthy
77,77,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16,198.099894625922,False,False,3.44,Unhealthy
78,78,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22,93.54377682403432,False,False,2.27,Moderate
79,79,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81,73.05000000000001,False,False,8.81,Moderate
80,80,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77,167.30063224446786,False,True,1.39,Unhealthy
81,81,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11,118.84787878787878,False,False,3.17,Poor
82,82,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91,197.18598524762908,False,False,8.02,Unhealthy
83,83,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56,59.19179487179488,False,False,6.9,Moderate
84,84,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19,155.33719704952583,False,False,5.98,Unhealthy
85,85,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8,122.27437185929648,False,False,1.23,Poor
86,86,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07,177.10063224446787,False,False,7.53,Unhealthy
87,87,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92,195.8899894625922,False,False,9.32,Unhealthy
88,88,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92,182.18651211801887,False,False,6.42,Unhealthy
89,89,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94,94.5,False,False,9.18,Moderate
90,90,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06,97.30252525252526,False,False,5.8,Moderate
91,91,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7,181.28809272918863,False,False,13.07,Unhealthy
92,92,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2,185.9867228661749,False,False,3.06,Unhealthy
93,93,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81,193.1740779768177,False,False,9.08,Unhealthy
94,94,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74,63.8,False,False,14.31,Moderate
95,95,106.04,147.05,27.88,2.34,2.46,84.55,5.6,21.8,11.62,177.095468914647,False,False,8.12,Unhealthy
96,96,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5,164.940990516333,False,False,6.27,Unhealthy
97,97,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76,155.18229715489989,False,False,7.7,Unhealthy
98,98,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,137.04824120603016,False,False,11.8,Poor
99,99,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02,167.78082191780825,False,False,1.22,Unhealthy
100,100,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56,84.14334763948499,False,False,1.87,Moderate
101,101,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84,131.38492462311558,True,False,10.25,Poor
102,102,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67,166.1905163329821,False,False,8.35,Unhealthy
103,103,66.75,50.87,33.48,17.33,3.84,173.76,39.67,66.72,7.65,156.80874604847207,False,True,1.39,Unhealthy
104,104,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13,189.3377239199157,False,False,0.73,Unhealthy
105,105,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31,196.2256059009484,False,False,0.79,Unhealthy
106,106,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96,169.57766069546892,False,False,6.42,Unhealthy
107,107,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58,165.89620653319284,False,False,6.17,Unhealthy
108,108,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24,197.57839831401475,False,False,11.62,Unhealthy
109,109,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07,106.74141414141414,False,False,10.59,Poor
110,110,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44,194.99157007376184,False,False,7.63,Unhealthy
111,111,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3,196.53024236037936,False,False,1.23,Unhealthy
112,112,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27,116.83266331658292,False,False,10.16,Poor
113,113,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64,172.74278187565858,False,False,7.51,Unhealthy
114,114,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13,86.73004291845494,False,False,7.15,Moderate
115,115,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34,74.58434343434344,False,False,12.38,Moderate
116,116,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65,191.5579557428873,False,False,10.13,Unhealthy
117,117,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15,137.31909547738695,False,False,3.23,Poor
118,118,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07,183.08493150684933,False,False,9.52,Unhealthy
119,119,61.51,60.47,42.52,30.08,5.99,134.57,39.0,11.76,7.1,154.1031612223393,False,False,6.35,Unhealthy
120,120,42.79,186.5,34.72,32.75,4.05,165.8,15.76,19.82,16.22,118.9502512562814,False,False,13.54,Poor
121,121,99.67,182.25,15.05,30.31,0.71,104.82,17.65,72.44,6.78,173.8064278187566,False,False,3.93,Unhealthy
122,122,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73,120.99396984924624,False,False,7.75,Poor
123,123,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97,176.13508956796628,True,False,9.86,Unhealthy
124,124,132.13,125.22,51.69,29.84,3.87,160.86,-8.56,51.01,3.96,190.5665964172813,False,False,2.62,Unhealthy
125,125,122.71,110.47,78.72,45.35,2.38,89.7,30.95,30.06,10.06,185.7027397260274,False,False,7.73,Unhealthy
126,126,82.76,11.97,45.12,21.02,2.78,192.53,-8.58,40.44,16.83,165.07523709167546,False,False,11.98,Unhealthy
127,127,116.55,15.85,8.0,48.47,3.81,106.48,12.08,47.46,2.04,182.52212855637512,False,False,1.38,Unhealthy
128,128,76.49,157.45,33.55,17.71,2.43,124.68,1.07,54.9,0.72,161.83782929399368,False,False,14.34,Unhealthy
129,129,148.44,193.88,24.88,7.26,9.12,10.37,36.0,47.83,11.48,198.98798735511065,False,False,7.77,Unhealthy
130,130,7.17,67.57,40.12,24.43,0.56,145.28,5.5,73.42,5.22,57.22151515151515,False,False,3.01,Moderate
131,131,58.13,81.33,31.67,8.3,1.95,167.79,0.32,86.18,4.74,152.35795574288724,False,False,2.55,Unhealthy
132,132,81.57,125.21,27.25,10.14,5.23,133.79,19.49,84.25,18.29,164.46080084299263,False,False,9.93,Unhealthy
133,133,106.1,192.72,87.56,30.66,9.42,84.44,9.32,34.94,2.89,177.1264488935722,False,False,2.14,Unhealthy
134,134,113.13,196.42,75.01,27.82,1.86,135.44,30.27,87.22,8.1,180.7562697576396,False,False,4.33,Unhealthy
135,135,36.24,57.46,21.67,49.47,7.87,159.22,-8.97,59.82,18.5,102.82211055276382,False,False,11.58,Poor
136,136,109.45,135.77,89.51,49.18,2.14,40.67,6.52,77.24,17.63,178.85616438356163,False,False,9.95,Unhealthy
137,137,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74,167.45036880927293,False,False,6.26,Unhealthy
138,138,24.85,27.35,27.68,44.03,7.68,33.61,26.68,76.15,9.0,82.8,False,False,5.11,Moderate
139,139,101.21,70.07,43.33,28.93,4.19,20.25,-8.26,72.42,6.54,174.60158061116965,False,False,3.79,Unhealthy
140,140,27.18,26.47,66.21,45.15,5.42,139.81,4.46,30.05,1.57,82.71330472103006,False,False,1.21,Moderate
141,141,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89,95.2,False,False,13.48,Moderate
142,142,76.83,99.21,70.75,15.22,5.27,185.11,23.05,48.47,9.14,162.01338250790306,False,False,6.16,Unhealthy
143,143,103.53,86.55,32.2,28.73,5.87,12.05,-8.35,15.23,13.42,175.7994731296101,False,False,11.65,Unhealthy
144,144,142.21,73.79,19.41,2.3,5.31,49.86,1.93,35.25,15.1,195.7712328767124,False,False,11.16,Unhealthy
145,145,48.36,181.74,95.72,1.04,9.15,79.65,38.31,74.78,6.27,132.66532663316582,False,False,3.59,Poor
146,146,140.81,112.01,92.23,19.31,1.84,162.49,-5.06,21.72,11.02,195.04836670179137,False,False,9.05,Unhealthy
147,147,36.97,174.27,92.31,5.83,6.72,53.04,2.67,19.65,18.08,110.53767676767676,False,False,15.11,Poor
148,148,7.9,176.85,63.2,12.53,4.17,195.52,19.83,66.06,11.92,111.81464646464646,False,False,7.18,Poor
149,149,48.53,58.95,86.86,30.17,3.44,189.93,-5.37,55.04,3.76,133.08391959798996,False,False,2.43,Poor
150,150,56.2,115.21,37.11,18.8,3.22,18.7,7.2,89.72,14.71,151.36143308746048,False,False,7.75,Unhealthy
151,151,106.97,143.17,49.0,21.1,3.06,184.43,38.23,81.14,15.34,177.57565858798736,False,False,8.47,Unhealthy
152,152,133.99,193.54,49.1,45.92,9.06,132.52,0.34,99.63,16.47,191.52697576396207,True,False,8.25,Unhealthy
153,153,22.05,196.64,59.36,23.47,1.47,178.93,19.26,65.73,2.78,121.60969696969696,False,False,1.68,Poor
154,154,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98,74.46952789699571,False,False,14.43,Moderate
155,155,107.28,50.78,32.19,46.2,7.22,180.13,19.77,35.36,14.9,177.73572181243415,False,False,11.01,Unhealthy
156,156,51.23,197.82,80.38,47.53,1.74,20.81,33.91,63.69,18.45,139.7321608040201,False,False,11.27,Poor
157,157,142.55,189.38,7.66,7.98,6.92,56.56,16.42,91.71,5.17,195.9467860906217,False,False,2.7,Unhealthy
158,158,105.74,182.03,44.08,2.95,2.88,35.15,16.07,50.22,16.47,176.9405690200211,False,False,10.96,Unhealthy
159,159,93.68,59.02,30.01,26.48,4.69,171.34,1.8,55.67,11.77,170.71359325605903,False,False,7.56,Unhealthy
160,160,134.62,165.45,83.39,39.7,5.1,41.31,11.75,51.71,2.71,191.8522655426765,False,False,1.79,Unhealthy
161,161,75.67,56.37,94.76,21.73,7.69,133.39,-6.52,10.92,2.91,161.41443624868282,False,False,2.62,Unhealthy
162,162,135.33,46.11,89.69,29.94,9.83,186.39,27.04,95.78,0.85,192.21886195995785,False,False,0.43,Unhealthy
163,163,62.61,194.27,60.84,44.48,1.27,156.38,0.17,30.73,11.0,154.67112750263436,False,False,8.41,Unhealthy
164,164,20.56,19.06,85.27,10.54,3.19,58.93,25.81,91.46,18.5,84.30934782608696,False,False,9.66,Moderate
165,165,109.92,158.76,37.26,5.75,5.74,82.29,15.96,86.54,19.14,179.09884088514227,False,False,10.26,Unhealthy
166,166,141.59,176.33,84.38,39.38,1.96,169.19,7.3,11.72,16.31,195.4511064278188,False,False,14.6,Unhealthy
167,167,37.63,141.74,67.32,12.82,5.07,58.86,9.44,77.1,15.91,106.24472361809046,False,False,8.98,Poor
168,168,108.32,153.08,14.25,34.62,6.1,83.46,18.41,20.11,9.27,178.272708113804,False,False,7.72,Unhealthy
169,169,122.81,124.47,53.19,21.88,9.94,10.11,18.04,12.19,14.71,185.75437302423603,False,False,13.11,Unhealthy
170,170,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04,117.81838383838384,True,False,8.27,Poor
171,171,71.6,168.4,14.88,44.17,5.24,140.11,22.4,77.04,19.8,159.31296101159114,False,False,11.18,Unhealthy
172,172,18.87,67.55,29.58,48.67,4.96,80.61,21.13,75.0,4.83,66.91871794871795,False,False,2.76,Moderate
173,173,22.27,20.48,92.96,8.74,3.51,46.73,18.99,36.0,14.83,92.5008695652174,False,False,10.9,Moderate
174,174,21.63,131.64,91.93,25.92,7.8,39.01,-2.21,72.86,4.64,91.40369565217392,False,False,2.68,Moderate
175,175,147.95,46.83,30.12,49.26,3.46,111.03,-3.78,53.9,15.74,198.7349841938883,False,False,10.23,Unhealthy
176,176,58.33,103.74,27.16,45.17,8.61,100.1,34.87,94.52,9.38,152.46122233930453,False,False,4.82,Unhealthy
177,177,113.57,182.44,98.62,6.65,7.32,59.75,4.67,79.9,9.85,180.98345626975765,False,False,5.48,Unhealthy
178,178,143.17,67.59,34.91,17.05,1.49,158.04,-3.04,98.52,15.61,196.2669125395153,True,False,7.86,Unhealthy
179,179,138.6,95.56,26.64,32.72,4.96,48.36,-1.8,43.02,1.98,193.9072708113804,False,False,1.38,Unhealthy
180,180,95.78,120.41,13.53,2.44,4.76,158.63,8.73,99.86,7.65,171.79789251844048,False,False,3.83,Unhealthy
181,181,105.15,30.89,27.79,9.66,7.34,123.33,-0.0,26.84,7.27,176.6359325605901,False,False,5.73,Unhealthy
182,182,99.12,100.43,22.45,6.89,2.18,87.89,20.95,98.42,6.51,173.52244467860908,False,False,3.28,Unhealthy
183,183,32.26,174.93,32.57,45.86,6.43,68.5,39.37,47.69,12.27,110.86434343434344,False,False,8.31,Poor
184,184,51.0,65.02,37.8,18.2,0.64,186.14,25.39,36.57,1.16,139.16582914572865,False,False,0.85,Poor
185,185,107.15,21.99,69.3,31.19,6.65,112.04,5.17,33.45,16.69,177.6685985247629,False,False,12.51,Unhealthy
186,186,111.68,148.39,96.6,44.06,1.4,50.25,-7.35,21.01,14.07,180.00758693361433,False,False,11.63,Unhealthy
187,187,71.61,135.7,61.54,48.2,2.55,125.14,35.8,75.39,5.23,159.31812434141202,False,False,2.98,Unhealthy
188,188,64.72,89.08,94.8,36.67,3.36,45.65,0.71,85.33,15.07,155.76059009483666,False,False,8.13,Unhealthy
189,189,62.81,94.94,11.02,21.97,6.15,29.37,5.14,57.21,0.9,154.77439409905165,False,False,0.57,Unhealthy
190,190,103.86,189.45,87.36,49.54,7.87,54.01,8.64,68.64,12.47,175.96986301369864,False,False,7.39,Unhealthy
191,191,20.5,91.96,56.48,2.85,1.48,41.52,13.3,33.0,3.26,69.29333333333332,False,False,2.45,Moderate
192,192,17.6,75.31,92.86,28.39,6.18,94.76,39.72,18.08,6.42,92.39434782608696,False,False,5.44,Moderate
193,193,56.21,162.96,68.29,3.65,8.76,59.23,25.26,24.62,1.66,151.36659641728136,False,False,1.33,Unhealthy
194,194,78.04,81.83,46.6,45.89,6.73,164.0,16.66,28.56,10.95,162.63814541622762,False,False,8.52,Unhealthy
195,195,138.23,188.75,45.5,15.28,5.14,108.28,-6.11,35.35,12.9,193.7162276080084,False,False,9.53,Unhealthy
196,196,25.37,40.66,40.16,14.08,5.29,59.5,-0.64,17.92,14.71,78.9068669527897,False,False,12.47,Moderate
197,197,50.44,22.91,19.01,43.73,9.82,20.52,24.69,33.8,13.54,137.78693467336683,False,False,10.12,Poor
198,198,67.23,14.08,57.71,21.87,1.13,179.3,4.28,73.72,16.9,157.05658587987355,False,False,9.73,Unhealthy
199,199,33.1,102.66,8.91,41.34,4.99,70.87,8.0,21.32,3.63,95.16309012875536,False,False,2.99,Moderate
200,200,21.8,118.08,41.26,24.77,7.5,91.4,9.68,81.32,3.91,82.22141414141414,False,False,2.16,Moderate
201,201,119.75,158.85,73.36,5.31,6.59,182.6,22.62,51.79,15.94,184.17439409905165,False,False,10.5,Unhealthy
202,202,102.58,120.35,75.83,9.4,1.68,70.86,5.25,73.3,5.45,175.30895679662802,False,False,3.14,Unhealthy
203,203,106.45,167.0,47.23,40.55,9.71,127.06,24.05,88.91,14.01,177.30716543730242,False,False,7.42,Unhealthy
204,204,97.87,127.17,94.58,33.15,4.9,94.21,18.03,34.05,4.32,172.87702845100105,False,False,3.22,Unhealthy
205,205,77.34,167.68,77.17,30.84,5.63,32.61,11.76,19.78,7.77,162.27671232876713,False,False,6.49,Unhealthy
206,206,14.98,80.36,63.9,21.7,9.61,46.49,12.28,14.85,4.09,102.85862068965515,False,False,3.56,Poor
207,207,64.28,154.05,75.32,28.71,4.96,159.82,29.76,47.92,17.26,155.53340358271865,False,False,11.67,Unhealthy
208,208,29.02,113.23,9.64,43.22,8.79,103.58,8.41,74.67,2.13,93.9,False,False,1.22,Moderate
209,209,126.39,188.12,70.48,17.84,9.75,150.32,1.24,72.93,2.71,187.60284510010536,False,False,1.57,Unhealthy
210,210,134.06,22.55,58.18,28.75,8.91,61.33,16.31,43.74,3.22,191.5631190727081,False,False,2.24,Unhealthy
211,211,58.77,193.29,7.16,18.05,9.11,181.85,6.05,88.84,6.59,152.68840885142257,False,False,3.49,Unhealthy
212,212,44.2,196.44,65.15,5.46,6.78,168.6,33.83,77.45,4.0,122.42211055276384,False,False,3.59,Poor
213,213,97.85,104.91,49.52,30.65,4.09,16.34,36.17,18.89,8.71,172.86670179135933,False,False,7.33,Unhealthy
214,214,32.5,120.35,66.92,30.19,2.35,58.27,9.17,83.43,19.83,93.90128755364807,False,False,10.81,Moderate
215,215,9.19,149.75,48.8,2.58,5.73,147.61,20.94,10.05,6.97,97.89646464646464,False,False,6.33,Moderate
216,216,18.96,117.93,20.62,16.69,2.48,175.8,38.6,53.6,10.9,82.14717171717172,False,False,7.1,Moderate
217,217,34.86,174.02,35.9,21.55,8.48,150.28,4.65,94.97,10.23,110.4139393939394,True,False,5.25,Poor
218,218,59.78,118.64,27.66,1.68,8.25,130.26,4.61,22.35,17.07,153.20990516332984,False,False,13.95,Unhealthy
219,219,137.45,139.03,9.83,32.12,7.98,39.71,22.13,18.63,7.13,193.31348788198105,False,False,6.01,Unhealthy
220,220,109.78,72.46,27.85,49.74,7.07,139.46,23.69,38.35,12.52,179.02655426765017,False,False,9.05,Unhealthy
221,221,28.18,197.72,49.18,23.61,2.71,82.08,13.33,17.1,11.44,122.14424242424242,False,False,9.77,Poor
