Unnamed: 0,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_PM2.5,AQI_PM10,AQI_O3,AQI_CO,AQI_SO2,AQI_NO2,Air_Quality,Air_Quality_Category,Year,Month,Day,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed
73,Moscow,Russia,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22,152.63161222339303,13.574074074074074,,6.363636363636364,21.457142857142856,71.00478260869565,152.63161222339303,Unhealthy,2023,1,21,14.36,10.98
74,Mumbai,India,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52,106.31859296482412,84.63676767676768,,30.795454545454543,34.67142857142857,58.168913043478256,106.31859296482412,Poor,2023,5,22,17.26,9.48
75,Paris,France,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85,159.93256059009482,55.0189898989899,,24.43181818181818,51.25128205128205,80.81543478260869,159.93256059009482,Unhealthy,2023,6,8,13.47,9.37
76,Mumbai,India,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94,162.33350895679663,98.61909090909091,,67.7,8.200000000000001,13.735849056603774,162.33350895679663,Unhealthy,2023,8,23,14.73,9.18
77,Mexico City,Mexico,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16,198.099894625922,11.01851851851852,,97.7,67.13230769230769,38.301886792452834,198.099894625922,Unhealthy,2023,5,1,14.2,11.91
78,Rio de Janeiro,Brazil,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22,93.54377682403432,76.07414141414141,,45.34090909090909,27.142857142857142,22.91509433962264,93.54377682403432,Moderate,2023,7,2,19.26,10.85
79,New York,USA,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81,71.3991416309013,59.17161616161616,,19.88636363636364,16.1,73.05000000000001,73.05000000000001,Moderate,2023,6,6,15.78,9.84
80,Rio de Janeiro,Brazil,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77,167.30063224446786,65.94252525252526,,66.8,,87.95239130434783,167.30063224446786,Unhealthy,2023,10,6,19.62,9.68
81,Cairo,Egypt,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11,,118.84787878787878,,38.29545454545455,26.285714285714285,37.75471698113208,118.84787878787878,Poor,2023,12,27,15.75,9.44
82,Mumbai,India,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91,197.18598524762908,102.68282828282828,,20.454545454545453,2.7,89.35847826086957,197.18598524762908,Unhealthy,2023,6,26,14.76,10.34
83,Tokyo,Japan,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56,41.25000000000001,56.276161616161616,,56.2,59.19179487179488,21.933962264150946,59.19179487179488,Moderate,2023,5,28,15.57,10.61
84,Bangkok,Thailand,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19,155.33719704952583,82.77080808080808,,90.5,61.86794871794872,26.06603773584905,155.33719704952583,Unhealthy,2023,10,10,12.07,9.94
85,Sydney,Australia,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8,122.27437185929648,110.17636363636365,,78.5,16.214285714285715,52.21434782608696,122.27437185929648,Poor,2023,9,2,10.87,10.39
86,Cairo,Egypt,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07,177.10063224446787,32.01851851851852,,7.727272727272727,38.385714285714286,47.783018867924525,177.10063224446787,Unhealthy,2023,10,20,15.61,9.87
87,Los Angeles,USA,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92,195.8899894625922,62.42838383838384,,31.477272727272727,67.03179487179487,37.63207547169812,195.8899894625922,Unhealthy,2023,5,24,14.24,9.89
88,Paris,France,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92,182.18651211801895,119.60515151515152,,46.70454545454546,55.62358974358975,38.12264150943396,182.18651211801895,Unhealthy,2023,8,12,15.19,8.73
89,Mexico City,Mexico,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94,22.875000000000004,79.86050505050505,,94.5,19.15714285714286,66.22195652173914,94.5,Moderate,2023,5,10,14.2,11.91
90,Paris,France,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06,67.65579399141632,97.30252525252526,,8.409090909090908,7.9714285714285715,78.55717391304348,97.30252525252526,Moderate,2023,2,11,15.58,10.26
91,Mumbai,India,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7,181.28809272918863,60.27535353535353,,2.159090909090909,27.571428571428573,23.9811320754717,181.28809272918863,Unhealthy,2023,6,10,14.76,10.34
92,Paris,France,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2,185.9867228661749,65.96232323232323,,72.8,11.614285714285716,36.971698113207545,185.9867228661749,Unhealthy,2023,3,21,15.91,10.54
93,Los Angeles,USA,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81,193.1740779768177,53.36585858585859,,92.1,68.37615384615384,27.53773584905661,193.1740779768177,Unhealthy,2023,10,2,14.02,10.27
94,Istanbul,Turkey,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74,23.583333333333336,,,63.8,46.885714285714286,51.66043478260869,63.8,Moderate,2023,3,18,14.84,10.52
95,Rio de Janeiro,Brazil,106.04,147.05,27.88,2.34,2.46,84.55,5.6,21.8,11.62,177.095468914647,96.56010101010102,,27.954545454545453,3.3428571428571425,26.30188679245283,177.095468914647,Unhealthy,2023,9,11,18.36,10.61
96,Toronto,Canada,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5,164.940990516333,42.03703703703704,,7.159090909090909,62.81025641025641,43.90566037735849,164.940990516333,Unhealthy,2023,10,16,14.88,11.68
97,Seoul,South Korea,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76,155.18229715489989,55.00909090909091,,33.97727272727273,10.0,27.471698113207548,155.18229715489989,Unhealthy,2023,8,6,14.73,9.89
98,Bangkok,Thailand,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,137.04824120603016,60.88909090909091,,95.6,62.72230769230769,66.69065217391305,137.04824120603016,Poor,2023,5,18,16.55,9.66
99,Berlin,Germany,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02,167.78082191780825,58.04313131313131,,26.022727272727277,52.168461538461536,82.56239130434783,167.78082191780825,Unhealthy,2023,6,24,15.69,9.7
100,Madrid,Spain,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56,84.14334763948499,58.434141414141415,,69.2,43.62857142857143,62.65347826086956,84.14334763948499,Moderate,2023,10,15,18.8,9.47
101,Madrid,Spain,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84,131.38492462311558,102.97979797979798,,46.25,55.66128205128205,49.5188679245283,131.38492462311558,Poor,2023,6,27,17.11,8.79
102,Sydney,Australia,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67,166.1905163329821,108.10747474747475,,44.20454545454545,21.071428571428573,85.98173913043479,166.1905163329821,Unhealthy,2023,3,15,13.57,12.06
103,Rio de Janeiro,Brazil,66.75,50.87,33.48,17.33,3.84,173.76,39.67,66.72,7.65,156.80874604847207,47.10185185185185,,43.63636363636363,24.757142857142856,31.584905660377355,156.80874604847207,Unhealthy,2023,10,6,19.62,9.68
104,Rio de Janeiro,Brazil,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13,189.3377239199157,24.935185185185183,,72.4,23.8,70.845,189.3377239199157,Unhealthy,2023,9,9,18.36,10.61
105,London,UK,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31,196.2256059009484,111.31969696969696,,44.54545454545455,29.414285714285715,41.64150943396226,196.2256059009484,Unhealthy,2023,2,17,14.65,10.39
106,Bangkok,Thailand,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96,169.57766069546892,96.3918181818182,,37.5,25.642857142857142,72.08065217391305,169.57766069546892,Unhealthy,2023,8,26,17.27,11.24
107,Sydney,Australia,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58,165.89620653319284,60.6069696969697,,57.7,7.557142857142857,38.85849056603774,165.89620653319284,Unhealthy,2023,1,8,14.53,9.98
108,Mexico City,Mexico,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24,197.57839831401475,22.416666666666668,,,55.05820512820512,28.17924528301887,197.57839831401475,Unhealthy,2023,6,2,13.43,9.45
109,Cairo,Egypt,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07,58.12918454935623,106.74141414141414,,5.340909090909091,39.32857142857143,15.650943396226417,106.74141414141414,Poor,2023,1,11,14.81,9.3
110,London,UK,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44,194.99157007376184,78.17767676767677,,31.704545454545453,56.84230769230769,35.764150943396224,194.99157007376184,Unhealthy,2023,9,12,18.45,10.68
111,London,UK,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3,196.53024236037936,105.86040404040403,,20.568181818181817,20.7,48.39622641509434,196.53024236037936,Unhealthy,2023,5,1,16.1,10.59
112,Istanbul,Turkey,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27,116.83266331658292,71.44141414141414,,48.06818181818182,4.0285714285714285,64.67739130434784,116.83266331658292,Poor,2023,11,27,16.73,11.19
113,Bangkok,Thailand,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64,172.74278187565858,21.01851851851852,,40.79545454545454,62.87307692307692,13.867924528301886,172.74278187565858,Unhealthy,2023,11,2,18.46,10.36
114,Rio de Janeiro,Brazil,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13,86.73004291845494,69.9120202020202,,42.61363636363636,25.67142857142857,7.254716981132076,86.73004291845494,Moderate,2023,8,6,16.77,9.36
115,Rio de Janeiro,Brazil,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34,60.8,74.58434343434344,,42.15909090909091,66.86846153846155,63.26065217391305,74.58434343434344,Moderate,2023,8,10,16.77,9.36
116,New York,USA,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65,191.5579557428873,114.71505050505051,,12.045454545454543,54.34205128205128,18.811320754716984,191.5579557428873,Unhealthy,2023,6,16,15.78,9.84
117,Beijing,China,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15,137.31909547738695,69.34777777777778,,31.13636363636364,22.214285714285715,37.87735849056604,137.31909547738695,Poor,2023,5,25,14.45,9.64
118,Mexico City,Mexico,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07,183.08493150684933,116.68989898989898,,45.56818181818181,47.84285714285715,46.4811320754717,183.08493150684933,Unhealthy,2023,8,19,11.58,10.47
