Region,Country,City,avg_temperature_2017,avg_temperature_2018,avg_temperature_2019,avg_temperature_2020,avg_aqi_2020,avg_aqi_2019,avg_aqi_2018,avg_aqi_2017,avg_temperature_2023,avg_aqi_2023
Europe/Asia,Turkey,Istanbul,67.76,56.42,79.76,51.83,31.6,62.59,94.97,62.68,51.8,160.66
Asia,United Arab Emirates,Dubai,60.32,61.03,62.2,53.85,66.7,72.92,36.42,31.01,43.02,104.58
Asia,Saudi Arabia,Riyadh,58.73,71.36,75.46,60.83,97.22,96.92,51.25,86.35,39.61,31.92
Asia,Israel,Tel Aviv,66.62,83.51,52.49,84.26,96.52,97.74,34.41,57.24,71.56,195.11
Asia,Iran,Tehran,53.79,64.23,56.01,52.29,32.75,35.9,61.12,87.24,42.16,135.33
Asia,Pakistan,Karachi,80.73,73.1,84.53,79.45,53.7,30.15,66.37,83.29,70.25,55.51
Asia,Indonesia,Jakarta,84.48,78.89,64.36,55.62,53.43,52.85,93.32,82.35,58.74,164.27
Asia,South Korea,Seoul,61.86,65.93,79.18,84.98,60.54,32.73,52.34,73.79,52.87,114.43
Asia,China,Beijing,66.25,63.34,60.1,77.92,44.23,49.32,65.64,44.18,69.14,136.29
Asia,Japan,Tokyo,63.22,60.31,79.18,54.95,97.71,85.52,87.17,83.88,87.81,107.39
Asia,China,Hong Kong,64.59,62.56,69.85,64.6,35.56,58.04,81.42,72.84,86.81,78.73
Asia,Philippines,Manila,52.17,69.81,55.08,76.0,87.76,35.3,30.01,34.22,56.02,121.03
Asia,Malaysia,Kuala Lumpur,79.51,57.71,78.96,61.99,63.36,32.83,69.82,64.49,70.33,125.64
Asia,Thailand,Bangkok,60.85,63.8,58.63,62.0,71.35,48.77,66.01,56.59,58.09,193.99
Asia,Vietnam,Hanoi,77.81,79.64,78.97,60.42,97.86,74.87,77.83,71.37,42.42,106.19
Asia,Vietnam,Ho Chi Minh City,73.84,57.52,64.59,68.91,96.63,70.76,89.67,77.58,50.05,15.79
Africa,Nigeria,Abuja,84.4,83.66,69.86,58.37,71.76,71.5,46.27,85.61,41.56,75.67
Africa,Kenya,Nairobi,50.06,66.8,70.23,59.74,56.86,49.88,54.85,49.05,79.85,157.13
Africa,Ethiopia,Addis Ababa,50.51,65.45,66.92,50.76,77.98,48.86,60.07,60.65,31.96,162.65
Africa,Morocco,Casablanca,73.28,71.33,83.84,51.45,55.75,72.85,81.21,77.66,72.87,136.95
Africa,Algeria,Algiers,76.39,62.37,67.55,75.58,44.11,91.61,37.48,92.3,61.53,137.89
Africa,Angola,Luanda,83.05,60.0,71.28,72.83,34.11,86.26,40.4,39.81,70.66,165.2
Africa,Ghana,Accra,62.24,72.71,58.71,62.66,45.44,89.88,43.39,40.08,88.44,24.9
Africa,Rwanda,Kigali,81.33,75.57,57.5,66.86,73.61,70.39,44.89,44.31,60.37,166.8
Africa,Tanzania,Dar es Salaam,66.32,50.87,50.92,68.62,92.02,59.56,62.07,47.35,72.19,181.4
Africa,South Africa,Johannesburg,74.63,54.58,79.52,50.93,58.27,42.78,41.19,93.04,62.85,39.24
Australia/South Pacific,Australia,Brisbane,76.18,64.98,84.57,73.27,92.01,85.29,49.8,62.94,85.9,43.67
Australia/South Pacific,Australia,Perth,82.7,67.91,50.95,64.53,71.76,93.99,43.18,98.7,85.21,136.57
Australia/South Pacific,New Zealand,Auckland,64.17,58.69,67.88,54.81,60.24,44.14,79.45,39.27,82.91,196.35
Australia/South Pacific,Fiji,Suva,73.53,50.7,65.61,53.96,32.4,90.27,94.73,79.64,86.98,70.44
Australia/South Pacific,New Caledonia,Noumea,81.31,53.96,64.34,75.5,47.48,33.11,37.7,94.04,41.44,72.44
Australia/South Pacific,Papua New Guinea,Port Moresby,57.26,68.92,72.12,67.73,72.11,99.13,45.3,83.84,42.38,90.74
Australia/South Pacific,French Polynesia,Papeete,66.08,66.25,66.58,67.57,35.77,93.77,80.0,83.23,58.91,174.29
Australia/South Pacific,Samoa,Apia,68.36,64.34,79.34,73.65,94.68,43.42,99.51,96.15,59.74,118.56
Australia/South Pacific,American Samoa,Pago Pago,76.14,62.18,53.49,53.16,68.93,67.44,69.86,80.57,70.02,27.71
Australia/South Pacific,Tonga,Nuku'alofa,77.53,55.98,61.72,55.13,38.3,36.9,64.84,67.18,81.06,186.74
